cik,company_name,form_type,date_filed,edgar_url
1000045,NICHOLAS FINANCIAL INC,10-K,2012-06-14,edgar/data/1000045/0001193125-12-270341.txt
1001171,BROADWAY FINANCIAL CORP \DE\,10-K/A,2012-04-27,edgar/data/1001171/0001193125-12-190827.txt
1001385,NORTHWEST PIPE CO,10-K,2012-04-27,edgar/data/1001385/0001193125-12-191419.txt
1001463,ACACIA AUTOMOTIVE INC,NT 10-K,2012-04-02,edgar/data/1001463/0001185185-12-000677.txt
1001871,INVESTORS CAPITAL HOLDINGS LTD,10-K,2012-06-28,edgar/data/1001871/0001001871-12-000013.txt
1002047,"NetApp, Inc.",10-K,2012-06-19,edgar/data/1002047/0001193125-12-275547.txt
1002135,WESTELL TECHNOLOGIES INC,10-K,2012-05-25,edgar/data/1002135/0001193125-12-249292.txt
1002388,"ACCELRYS, INC.",10-K/A,2012-04-18,edgar/data/1002388/0001193125-12-167574.txt
1002390,"America's Suppliers, Inc.",10-K/A,2012-05-24,edgar/data/1002390/0001144204-12-031744.txt
1002422,"Ceres Ventures, Inc.",10-K,2012-04-13,edgar/data/1002422/0001144204-12-021531.txt
100412,250 WEST 57TH ST ASSOCIATES L.L.C.,10-K,2012-04-11,edgar/data/100412/0001193125-12-158946.txt
1004440,CONSTELLATION ENERGY GROUP INC,10-K/A,2012-04-27,edgar/data/1004440/0001104659-12-030018.txt
1004989,SPAR GROUP INC,10-K/A,2012-05-29,edgar/data/1004989/0001437749-12-005575.txt
1005214,AMERICAN WAGERING INC,10-K,2012-04-30,edgar/data/1005214/0001005214-12-000007.txt
1005229,COLUMBUS MCKINNON CORP,10-K,2012-05-30,edgar/data/1005229/0001140361-12-027898.txt
1005758,"IO World Media, Inc",10-K/A,2012-06-04,edgar/data/1005758/0001013762-12-001268.txt
1005758,"IO World Media, Inc",10-K,2012-04-16,edgar/data/1005758/0001013762-12-000828.txt
1005758,"IO World Media, Inc",NT 10-K,2012-04-02,edgar/data/1005758/0001013762-12-000694.txt
1005817,TOMPKINS FINANCIAL CORP,10-K/A,2012-04-30,edgar/data/1005817/0001387131-12-001320.txt
100591,ARGAN INC,10-K,2012-04-13,edgar/data/100591/0001193125-12-161077.txt
1006820,NORTHERN CALIFORNIA BANCORP INC,10-K,2012-04-16,edgar/data/1006820/0001104659-12-025492.txt
100790,UNION CARBIDE CORP /NEW/,10-K/A,2012-05-01,edgar/data/100790/0000029915-12-000020.txt
1008586,STREAMLINE HEALTH SOLUTIONS INC.,10-K,2012-04-25,edgar/data/1008586/0001193125-12-180747.txt
1009759,CAPSTONE TURBINE Corp,10-K,2012-06-14,edgar/data/1009759/0001047469-12-006645.txt
1009925,"American Fiber Green Products, Inc.",10-K,2012-04-11,edgar/data/1009925/0001471242-12-000426.txt
1009925,"American Fiber Green Products, Inc.",NT 10-K,2012-04-02,edgar/data/1009925/0001471242-12-000392.txt
1010566,CHINA LONGYI GROUP INTERNATIONAL HOLDINGS LTD,10-K,2012-04-05,edgar/data/1010566/0001204459-12-000749.txt
101063,CHIQUITA BRANDS INTERNATIONAL INC,10-K/A,2012-06-28,edgar/data/101063/0000101063-12-000053.txt
1011006,YAHOO INC,10-K/A,2012-04-27,edgar/data/1011006/0001193125-12-191477.txt
1011060,AdvanSource Biomaterials Corp,NT 10-K,2012-06-29,edgar/data/1011060/0001011060-12-000013.txt
1011432,AUXILIO INC,10-K,2012-04-10,edgar/data/1011432/0001445866-12-000197.txt
1011835,"MEDIVATION, INC.",10-K/A,2012-04-30,edgar/data/1011835/0001193125-12-196533.txt
1013706,"Wilhelmina International, Inc.",10-K/A,2012-04-30,edgar/data/1013706/0001171843-12-001523.txt
1013796,TIB FINANCIAL CORP.,10-K/A,2012-04-30,edgar/data/1013796/0001071992-12-000004.txt
1013796,TIB FINANCIAL CORP.,10-K,2012-04-10,edgar/data/1013796/0001157523-12-001730.txt
1013796,TIB FINANCIAL CORP.,NT 10-K,2012-04-02,edgar/data/1013796/0000898822-12-000141.txt
1014763,AMARILLO BIOSCIENCES INC,10-K/A,2012-04-19,edgar/data/1014763/0001014763-12-000008.txt
1014763,AMARILLO BIOSCIENCES INC,10-K,2012-04-19,edgar/data/1014763/0001014763-12-000006.txt
1015383,RETROSPETTIVA INC,10-K,2012-04-16,edgar/data/1015383/0001079973-12-000281.txt
1016178,CARVER BANCORP INC,10-K,2012-06-29,edgar/data/1016178/0001016178-12-000017.txt
1016470,SRS LABS INC,10-K/A,2012-04-30,edgar/data/1016470/0001104659-12-030639.txt
1016546,ALTAIR NANOTECHNOLOGIES INC,10-K/A,2012-04-30,edgar/data/1016546/0001437749-12-004275.txt
1017110,GENETHERA INC,10-K,2012-04-13,edgar/data/1017110/0001096906-12-000928.txt
1017655,PAID INC,10-K/A,2012-05-16,edgar/data/1017655/0001017655-12-000030.txt
