cik,company_name,form_type,date_filed,edgar_url
1000180,SANDISK CORP,10-K,2012-02-23,edgar/data/1000180/0001000180-12-000012.txt
1000209,MEDALLION FINANCIAL CORP,10-K,2012-03-28,edgar/data/1000209/0001193125-12-134839.txt
1000209,MEDALLION FINANCIAL CORP,NT 10-K,2012-03-15,edgar/data/1000209/0001193125-12-117504.txt
1000228,HENRY SCHEIN INC,10-K,2012-02-15,edgar/data/1000228/0001000228-12-000009.txt
1000229,CORE LABORATORIES N V,10-K,2012-02-15,edgar/data/1000229/0001000229-12-000012.txt
1000230,OPTICAL CABLE CORP,10-K,2012-01-26,edgar/data/1000230/0001193125-12-025266.txt
1000232,KENTUCKY BANCSHARES INC /KY/,10-K,2012-03-29,edgar/data/1000232/0001104659-12-022172.txt
1000278,PACIFICHEALTH LABORATORIES INC,10-K,2012-03-09,edgar/data/1000278/0001144204-12-013971.txt
1000298,IMPAC MORTGAGE HOLDINGS INC,10-K,2012-03-21,edgar/data/1000298/0001047469-12-003045.txt
1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,10-K,2012-02-24,edgar/data/1000623/0001000623-12-000056.txt
1000683,BLONDER TONGUE LABORATORIES INC,10-K,2012-03-30,edgar/data/1000683/0001144204-12-018525.txt
1000694,NOVAVAX INC,10-K,2012-03-14,edgar/data/1000694/0001144204-12-014910.txt
1000697,WATERS CORP /DE/,10-K,2012-02-24,edgar/data/1000697/0001193125-12-077126.txt
1000753,"INSPERITY, INC.",10-K,2012-02-14,edgar/data/1000753/0001140361-12-007828.txt
1001082,DISH Network CORP,10-K,2012-02-23,edgar/data/1001082/0001104659-12-011853.txt
1001115,OYO GEOSPACE CORP,10-K/A,2012-01-27,edgar/data/1001115/0001193125-12-027157.txt
1001171,BROADWAY FINANCIAL CORP \DE\,10-K,2012-03-30,edgar/data/1001171/0001193125-12-143241.txt
100122,TUCSON ELECTRIC POWER CO,10-K,2012-02-28,edgar/data/100122/0001193125-12-082165.txt
1001233,SANGAMO BIOSCIENCES INC,10-K,2012-02-23,edgar/data/1001233/0001193125-12-073470.txt
1001258,ASTA FUNDING INC,10-K/A,2012-01-27,edgar/data/1001258/0001193125-12-027418.txt
1001288,LEXMARK INTERNATIONAL INC /KY/,10-K,2012-02-28,edgar/data/1001288/0001193125-12-085036.txt
1001316,MANHATTAN PHARMACEUTICALS INC,10-K,2012-03-14,edgar/data/1001316/0001144204-12-014947.txt
1001385,NORTHWEST PIPE CO,NT 10-K,2012-03-15,edgar/data/1001385/0001193125-12-117607.txt
1001601,MGT CAPITAL INVESTMENTS INC,10-K,2012-03-01,edgar/data/1001601/0001144204-12-012400.txt
1001604,EMERITUS CORP\WA\,10-K,2012-03-08,edgar/data/1001604/0001001604-12-000033.txt
1001606,BLOUNT INTERNATIONAL INC,10-K,2012-03-13,edgar/data/1001606/0001193125-12-112114.txt
1001614,TENGASCO INC,10-K,2012-03-29,edgar/data/1001614/0001001614-12-000009.txt
1001838,SOUTHERN COPPER CORP/,10-K,2012-02-27,edgar/data/1001838/0001104659-12-013068.txt
1001902,INTEVAC INC,10-K,2012-02-21,edgar/data/1001902/0001193125-12-070380.txt
1002225,ADVENT SOFTWARE INC /DE/,10-K,2012-02-29,edgar/data/1002225/0001047469-12-001907.txt
1002360,"ABSOLUTE POTENTIAL, INC.",10-K,2012-01-06,edgar/data/1002360/0001000096-12-000007.txt
1002360,"ABSOLUTE POTENTIAL, INC.",10-K,2012-01-06,edgar/data/1002360/0001000096-12-000015.txt
1002388,"ACCELRYS, INC.",10-K,2012-03-13,edgar/data/1002388/0001193125-12-111987.txt
1002390,"America's Suppliers, Inc.",10-K,2012-03-14,edgar/data/1002390/0001144204-12-014657.txt
1002422,"Ceres Ventures, Inc.",NT 10-K,2012-03-29,edgar/data/1002422/0001144204-12-018006.txt
1002910,AMEREN CORP,10-K,2012-02-28,edgar/data/1002910/0001193125-12-085489.txt
1003130,LCA VISION INC,10-K,2012-03-07,edgar/data/1003130/0001193125-12-101351.txt
1003201,MUNICIPAL MORTGAGE & EQUITY LLC,10-K,2012-03-29,edgar/data/1003201/0001144204-12-018039.txt
1003214,SILICON IMAGE INC,10-K,2012-03-01,edgar/data/1003214/0001003214-12-000011.txt
1003410,DUKE REALTY LIMITED PARTNERSHIP/,10-K,2012-03-02,edgar/data/1003410/0001003410-12-000005.txt
1003509,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,10-K,2012-03-20,edgar/data/1003509/0001193125-12-123108.txt
1003642,IMPAX LABORATORIES INC,10-K,2012-02-28,edgar/data/1003642/0001193125-12-085404.txt
1003815,BCTC IV ASSIGNOR CORP,10-K,2012-03-15,edgar/data/1003815/0001003815-12-000002.txt
1003950,PERFORMANCE TECHNOLOGIES INC \DE\,10-K,2012-03-06,edgar/data/1003950/0001003950-12-000012.txt
