cik,company_name,form_type,date_filed,edgar_url
1035354,SENESCO TECHNOLOGIES INC,10-K/A,2011-10-24,edgar/data/1035354/0001144204-11-058947.txt
103595,VILLAGE SUPER MARKET INC,10-K,2011-10-12,edgar/data/103595/0001096906-11-002364.txt
1035976,FIRST NATIONAL COMMUNITY BANCORP INC,10-K/A,2011-12-02,edgar/data/1035976/0001104659-11-067403.txt
1036478,WWA GROUP INC,10-K/A,2011-11-14,edgar/data/1036478/0001211524-11-000288.txt
1037049,AURORA GOLD CORP,10-K/A,2011-12-15,edgar/data/1037049/0001144204-11-069962.txt
1037115,ORBIT FR INC,10-K/A,2011-10-26,edgar/data/1037115/0000950123-11-092089.txt
1037115,ORBIT FR INC,10-K/A,2011-11-30,edgar/data/1037115/0000950123-11-101224.txt
1037115,ORBIT FR INC,10-K/A,2011-12-20,edgar/data/1037115/0000950123-11-103652.txt
1037156,WNC HOUSING TAX CREDIT FUND VI LP SERIES 6,10-K,2011-12-12,edgar/data/1037156/0001084067-11-000367.txt
1037156,WNC HOUSING TAX CREDIT FUND VI LP SERIES 6,10-K,2011-12-12,edgar/data/1037156/0001084067-11-000375.txt
1037156,WNC HOUSING TAX CREDIT FUND VI LP SERIES 6,10-K,2011-12-12,edgar/data/1037156/0001084067-11-000382.txt
1037156,WNC HOUSING TAX CREDIT FUND VI LP SERIES 6,10-K,2011-12-12,edgar/data/1037156/0001084067-11-000391.txt
1039466,XSUNX INC,10-K/A,2011-12-30,edgar/data/1039466/0001391609-11-000602.txt
1039466,XSUNX INC,10-K,2011-12-29,edgar/data/1039466/0001391609-11-000598.txt
1040270,UNITED REFINING CO /PA/,10-K,2011-11-29,edgar/data/1040270/0001193125-11-324609.txt
1040721,APOLO GOLD & ENERGY INC.,10-K,2011-10-14,edgar/data/1040721/0001079973-11-000795.txt
1041177,Sutor Technology Group LTD,10-K,2011-10-13,edgar/data/1041177/0001144204-11-057690.txt
1041803,PRICESMART INC,10-K,2011-11-09,edgar/data/1041803/0001041803-11-000047.txt
104207,WALGREEN CO,10-K,2011-10-25,edgar/data/104207/0000104207-11-000102.txt
1042463,Linkwell CORP,10-K/A,2011-10-26,edgar/data/1042463/0001144204-11-059491.txt
1042463,Linkwell CORP,10-K/A,2011-11-09,edgar/data/1042463/0001144204-11-062427.txt
1042809,"A.C. Moore Arts & Crafts, Inc.",10-K/A,2011-11-14,edgar/data/1042809/0000950123-11-098251.txt
1043961,TRANSGENOMIC INC,10-K/A,2011-10-21,edgar/data/1043961/0001144204-11-058834.txt
1044650,CALAIS RESOURCES INC,10-K/A,2011-11-18,edgar/data/1044650/0000949353-11-000348.txt
1045150,TIER TECHNOLOGIES INC,10-K,2011-12-06,edgar/data/1045150/0001045150-11-000085.txt
1045390,"COLOMBIA ENERGY RESOURCES, INC.",10-K/A,2011-12-14,edgar/data/1045390/0001144204-11-069815.txt
1045539,KIANTONE PIPELINE CO,10-K,2011-11-29,edgar/data/1045539/0001193125-11-324609.txt
1045540,KWIK FIL INC,10-K,2011-11-29,edgar/data/1045540/0001193125-11-324609.txt
1045541,KWIK FILL CORP,10-K,2011-11-29,edgar/data/1045541/0001193125-11-324609.txt
1045542,UNITED JET CENTER INC,10-K,2011-11-29,edgar/data/1045542/0001193125-11-324609.txt
1045543,BELL OIL CORP,10-K,2011-11-29,edgar/data/1045543/0001193125-11-324609.txt
1045544,PPC INC,10-K,2011-11-29,edgar/data/1045544/0001193125-11-324609.txt
1045545,SUPER TEST PETROLEUM INC,10-K,2011-11-29,edgar/data/1045545/0001193125-11-324609.txt
1045546,VULCAN ASPHALT REFINING CORP,10-K,2011-11-29,edgar/data/1045546/0001193125-11-324609.txt
1045547,INDEPENDENT GASOLINE & OIL CO OF ROCHESTER,10-K,2011-11-29,edgar/data/1045547/0001193125-11-324609.txt
1045742,LIVEDEAL INC,10-K,2011-12-29,edgar/data/1045742/0001144204-11-072154.txt
1045942,"SecureAlert, Inc.",10-K,2011-12-29,edgar/data/1045942/0001096906-11-003198.txt
1046050,TIMBERLAND BANCORP INC,10-K,2011-12-12,edgar/data/1046050/0000939057-11-000379.txt
1046995,EMAGIN CORP,10-K/A,2011-10-11,edgar/data/1046995/0001013762-11-002641.txt
1046995,EMAGIN CORP,10-K/A,2011-10-11,edgar/data/1046995/0001013762-11-002652.txt
104819,WASHINGTON GAS LIGHT CO,10-K,2011-11-23,edgar/data/104819/0001193125-11-321368.txt
1048268,INTEGRATED ELECTRICAL SERVICES INC,10-K,2011-12-20,edgar/data/1048268/0001193125-11-346104.txt
1048501,"XFormity Technologies, Inc.",10-K,2011-10-06,edgar/data/1048501/0001011034-11-000125.txt
1048695,F5 NETWORKS INC,10-K,2011-11-22,edgar/data/1048695/0001193125-11-318885.txt
104897,"WSI INDUSTRIES, INC.",10-K,2011-11-17,edgar/data/104897/0000950123-11-099301.txt
1050007,NUTRACEUTICAL INTERNATIONAL CORP,10-K,2011-12-19,edgar/data/1050007/0001047469-11-010134.txt
1050007,NUTRACEUTICAL INTERNATIONAL CORP,NT 10-K,2011-12-15,edgar/data/1050007/0001104659-11-069616.txt
105132,WD 40 CO,10-K,2011-10-20,edgar/data/105132/0001193125-11-275892.txt
1056598,"Regeneca, Inc.",10-K,2011-12-20,edgar/data/1056598/0001078782-11-003680.txt
1057060,MARINEMAX INC,10-K,2011-12-08,edgar/data/1057060/0001193125-11-335164.txt
1057695,"NETWORK 1 FINANCIAL GROUP, INC.",10-K/A,2011-10-21,edgar/data/1057695/0001144204-11-058854.txt
1057695,"NETWORK 1 FINANCIAL GROUP, INC.",10-K,2011-10-13,edgar/data/1057695/0001144204-11-057724.txt
1057758,tw telecom inc.,10-K/A,2011-11-09,edgar/data/1057758/0001193125-11-302856.txt
1059131,NASB FINANCIAL INC,10-K,2011-12-14,edgar/data/1059131/0001193125-11-340943.txt
1059324,PETROHAWK ENERGY CORP,10-K/A,2011-12-05,edgar/data/1059324/0001047469-11-009905.txt
1059784,GENEREX BIOTECHNOLOGY CORP,10-K/A,2011-10-28,edgar/data/1059784/0001144204-11-060091.txt
1059784,GENEREX BIOTECHNOLOGY CORP,10-K,2011-10-14,edgar/data/1059784/0001144204-11-057907.txt
1061164,PEREGRINE INDUSTRIES INC,10-K/A,2011-10-19,edgar/data/1061164/0001295345-11-000179.txt
1061164,PEREGRINE INDUSTRIES INC,10-K,2011-10-04,edgar/data/1061164/0001295345-11-000163.txt
1062273,"BillMyParents, Inc.",10-K,2011-12-21,edgar/data/1062273/0001418972-11-000052.txt
1062438,PULASKI FINANCIAL CORP,10-K,2011-12-16,edgar/data/1062438/0001104659-11-069893.txt
106311,"CATALYST RESOURCE GROUP, INC.",10-K/A,2011-11-17,edgar/data/106311/0001471242-11-000291.txt
1064015,AMERITRANS CAPITAL CORP,10-K/A,2011-10-28,edgar/data/1064015/0001398432-11-000837.txt
1064090,PRETIUM PACKAGING L L C,10-K,2011-12-19,edgar/data/1064090/0001193125-11-345802.txt
1065001,"Shearson American REIT, Inc.",10-K/A,2011-10-03,edgar/data/1065001/0001019687-11-003120.txt
1065001,"Shearson American REIT, Inc.",10-K/A,2011-10-03,edgar/data/1065001/0001019687-11-003121.txt
1065001,"Shearson American REIT, Inc.",NT 10-K,2011-11-16,edgar/data/1065001/0001019687-11-003589.txt
1066026,CONCUR TECHNOLOGIES INC,10-K,2011-11-17,edgar/data/1066026/0001193125-11-315702.txt
1067286,"CelLynx Group, Inc.",NT 10-K,2011-12-29,edgar/data/1067286/0001019687-11-003965.txt
1067873,ASI ENTERTAINMENT INC,10-K,2011-10-13,edgar/data/1067873/0001067873-11-000010.txt
1068874,IMPLANT SCIENCES CORP,10-K,2011-10-13,edgar/data/1068874/0001068874-11-000035.txt
1068875,INFOSPACE INC,10-K/A,2011-11-14,edgar/data/1068875/0001193125-11-308555.txt
1069353,CONEXANT SYSTEMS INC,10-K,2011-12-29,edgar/data/1069353/0001193125-11-355624.txt
1069533,RGC RESOURCES INC,10-K,2011-12-20,edgar/data/1069533/0001193125-11-346699.txt
1069799,PACIFIC SANDS INC,10-K,2011-10-13,edgar/data/1069799/0001096906-11-002386.txt
1070154,PROVIDENT NEW YORK BANCORP,10-K,2011-12-13,edgar/data/1070154/0001193125-11-339506.txt
1070698,Raptor Pharmaceutical Corp,10-K/A,2011-12-19,edgar/data/1070698/0001070698-11-000146.txt
1070698,Raptor Pharmaceutical Corp,10-K,2011-11-14,edgar/data/1070698/0001070698-11-000143.txt
1071840,"NEW ENERGY TECHNOLOGIES, INC.",10-K,2011-11-29,edgar/data/1071840/0001144204-11-067397.txt
1072248,M LINE HOLDINGS INC,10-K,2011-10-13,edgar/data/1072248/0001144204-11-057753.txt
1073748,YUMMIES INC,10-K,2011-12-29,edgar/data/1073748/0001096906-11-003199.txt
1074828,VISUALANT INC,10-K,2011-11-30,edgar/data/1074828/0001199835-11-000801.txt
107687,WINNEBAGO INDUSTRIES INC,10-K,2011-10-25,edgar/data/107687/0000107687-11-000049.txt
1077637,"Smooth Global (China) Holdings, Inc.",10-K/A,2011-11-07,edgar/data/1077637/0001096906-11-002593.txt
1077800,TECHNEST HOLDINGS INC,10-K,2011-10-13,edgar/data/1077800/0001376474-11-000160.txt
1078271,EXTREME NETWORKS INC,10-K/A,2011-10-31,edgar/data/1078271/0001078271-11-000092.txt
1079282,"Bio-Matrix Scientific Group, Inc.",10-K,2011-12-29,edgar/data/1079282/0001393905-11-000850.txt
10795,BECTON DICKINSON & CO,10-K,2011-11-23,edgar/data/10795/0000950123-11-100266.txt
1080360,"CHINA VALVES TECHNOLOGY, INC",10-KT,2011-11-21,edgar/data/1080360/0001204459-11-003125.txt
1080602,Allezoe Medical Holdings Inc,10-K,2011-12-14,edgar/data/1080602/0001080602-11-000017.txt
1080602,Allezoe Medical Holdings Inc,NT 10-K,2011-11-30,edgar/data/1080602/0001080602-11-000012.txt
1081568,FIRST ASIA HOLDINGS Ltd,NT 10-K,2011-12-28,edgar/data/1081568/0001137050-11-000409.txt
1081745,GLOBALWISE INVESTMENTS INC,10-K/A,2011-12-28,edgar/data/1081745/0001010412-11-000748.txt
1082576,Grupo International Inc,10-K,2011-10-19,edgar/data/1082576/0001269678-11-000230.txt
1082576,Grupo International Inc,10-K,2011-10-24,edgar/data/1082576/0001269678-11-000234.txt
1082576,Grupo International Inc,10-K,2011-10-28,edgar/data/1082576/0001269678-11-000238.txt
1082576,Grupo International Inc,10-K,2011-10-28,edgar/data/1082576/0001269678-11-000242.txt
1082576,Grupo International Inc,10-K,2011-11-02,edgar/data/1082576/0001269678-11-000246.txt
1082576,Grupo International Inc,10-K,2011-11-02,edgar/data/1082576/0001269678-11-000250.txt
1082576,Grupo International Inc,10-K,2011-12-05,edgar/data/1082576/0001269678-11-000257.txt
1082754,TEAM HEALTH HOLDINGS INC.,10-K/A,2011-11-02,edgar/data/1082754/0001193125-11-291215.txt
108312,"Woodward, Inc.",10-K,2011-11-16,edgar/data/108312/0000950123-11-099073.txt
1083383,"Milwaukee Iron Arena Football, Inc",NT 10-K,2011-12-29,edgar/data/1083383/0001463967-11-000171.txt
1084415,"HEARTLAND, INC.",10-K/A,2011-11-04,edgar/data/1084415/0001013762-11-002849.txt
1084752,EON COMMUNICATIONS CORP,10-K,2011-10-28,edgar/data/1084752/0001193125-11-285844.txt
1084755,ARIBA INC,10-K,2011-11-10,edgar/data/1084755/0001193125-11-306627.txt
