cik,company_name,form_type,date_filed,edgar_url
1000459,GREEN ENERGY GROUP INC.,10-K,2012-07-16,edgar/data/1000459/0001000459-12-000013.txt
1000459,GREEN ENERGY GROUP INC.,10-K,2012-08-14,edgar/data/1000459/0001000459-12-000021.txt
1001171,BROADWAY FINANCIAL CORP \DE\,10-K/A,2012-09-14,edgar/data/1001171/0001193125-12-392728.txt
1001250,ESTEE LAUDER COMPANIES INC,10-K,2012-08-17,edgar/data/1001250/0001104659-12-058698.txt
1001279,INTERNET AMERICA INC,10-K,2012-09-28,edgar/data/1001279/0001144204-12-053433.txt
1001426,PERICOM SEMICONDUCTOR CORP,10-K,2012-08-31,edgar/data/1001426/0001145443-12-001030.txt
1001907,ASTROTECH Corp \WA\,10-K,2012-09-28,edgar/data/1001907/0001515971-12-000327.txt
1002638,OPEN TEXT CORP,10-K,2012-08-10,edgar/data/1002638/0001002638-12-000011.txt
100378,TWIN DISC INC,10-K,2012-09-13,edgar/data/100378/0000100378-12-000058.txt
1003961,PATAPSCO BANCORP INC,10-K,2012-09-25,edgar/data/1003961/0001144204-12-052913.txt
1005101,CONCIERGE TECHNOLOGIES INC,NT 10-K,2012-09-28,edgar/data/1005101/0001471242-12-001345.txt
1005286,LANDEC CORP \CA\,10-K,2012-08-08,edgar/data/1005286/0001437749-12-007975.txt
1006655,EVOLUTION PETROLEUM CORP,10-K,2012-09-13,edgar/data/1006655/0001104659-12-063322.txt
1006830,CONSUMERS BANCORP INC /OH/,10-K,2012-09-21,edgar/data/1006830/0001144204-12-052405.txt
1006892,JDA SOFTWARE GROUP INC,10-K,2012-08-06,edgar/data/1006892/0001006892-12-000035.txt
100726,UNIFI INC,10-K,2012-08-30,edgar/data/100726/0001437749-12-009028.txt
1010470,PROVIDENT FINANCIAL HOLDINGS INC,10-K,2012-09-13,edgar/data/1010470/0000939057-12-000275.txt
1011006,YAHOO INC,10-K/A,2012-09-27,edgar/data/1011006/0001193125-12-406831.txt
1011060,AdvanSource Biomaterials Corp,10-K/A,2012-07-27,edgar/data/1011060/0001011060-12-000022.txt
1011060,AdvanSource Biomaterials Corp,10-K,2012-07-11,edgar/data/1011060/0001011060-12-000018.txt
1013880,TELETECH HOLDINGS INC,10-K/A,2012-07-11,edgar/data/1013880/0001104659-12-048317.txt
1016504,INTEGRATED BIOPHARMA INC,NT 10-K,2012-09-28,edgar/data/1016504/0001016504-12-000020.txt
1016951,DIGITAL CREATIVE DEVELOPMENT CORP,NT 10-K,2012-09-28,edgar/data/1016951/0001471242-12-001338.txt
1016951,DIGITAL CREATIVE DEVELOPMENT CORP,NT 10-K,2012-09-28,edgar/data/1016951/0001471242-12-001339.txt
1017699,"China Kangtai Cactus Bio-tech, Inc.",10-K/A,2012-07-23,edgar/data/1017699/0001204459-12-001670.txt
1018281,INTEGRAL TECHNOLOGIES INC,10-K,2012-09-28,edgar/data/1018281/0001140361-12-041899.txt
1018336,INFORMATION ARCHITECTS CORP,10-K/A,2012-08-14,edgar/data/1018336/0001018336-12-000018.txt
