cik,company_name,form_type,date_filed,edgar_url
1000230,OPTICAL CABLE CORP,10-K,2012-12-21,edgar/data/1000230/0001193125-12-511683.txt
1001039,WALT DISNEY CO/,10-K,2012-11-21,edgar/data/1001039/0001193125-12-479027.txt
1001115,GEOSPACE TECHNOLOGIES CORP,10-K,2012-12-12,edgar/data/1001115/0001193125-12-499442.txt
1001258,ASTA FUNDING INC,NT 10-K,2012-12-14,edgar/data/1001258/0001193125-12-503488.txt
1001463,"Acacia Diversified Holdings, Inc.",10-K/A,2012-10-19,edgar/data/1001463/0001185185-12-002267.txt
1002037,LEARNING TREE INTERNATIONAL INC,10-K,2012-12-18,edgar/data/1002037/0001193125-12-506687.txt
1002360,"ABSOLUTE POTENTIAL, INC.",10-K,2012-12-28,edgar/data/1002360/0001000096-12-000199.txt
1002517,"Nuance Communications, Inc.",10-K,2012-11-29,edgar/data/1002517/0001002517-12-000006.txt
1002590,STAR GAS PARTNERS LP,10-K,2012-12-10,edgar/data/1002590/0001193125-12-496931.txt
1003078,MSC INDUSTRIAL DIRECT CO INC,10-K,2012-10-31,edgar/data/1003078/0001144204-12-058651.txt
1003344,HEADWATERS INC,10-K,2012-11-16,edgar/data/1003344/0001047469-12-010631.txt
100378,TWIN DISC INC,10-K/A,2012-10-09,edgar/data/100378/0000100378-12-000065.txt
10048,BARNWELL INDUSTRIES INC,10-K,2012-12-12,edgar/data/10048/0001104659-12-083471.txt
100493,TYSON FOODS INC,10-K,2012-11-19,edgar/data/100493/0000100493-12-000065.txt
1005101,CONCIERGE TECHNOLOGIES INC,10-K/A,2012-10-24,edgar/data/1005101/0001354488-12-005436.txt
1005101,CONCIERGE TECHNOLOGIES INC,10-K,2012-10-16,edgar/data/1005101/0001471242-12-001394.txt
1005210,SUBURBAN PROPANE PARTNERS LP,10-K,2012-11-28,edgar/data/1005210/0001193125-12-483681.txt
1005276,MOHEGAN TRIBAL GAMING AUTHORITY,10-K,2012-12-21,edgar/data/1005276/0001005276-12-000017.txt
100548,UGI UTILITIES INC,10-K/A,2012-12-07,edgar/data/100548/0001193125-12-495164.txt
100548,UGI UTILITIES INC,10-K,2012-11-20,edgar/data/100548/0000100548-12-000008.txt
