cik,company_name,form_type,date_filed,edgar_url
1000230,OPTICAL CABLE CORP,10-K,2013-12-20,edgar/data/1000230/0001000230-13-000016.txt
1001039,WALT DISNEY CO/,10-K,2013-11-20,edgar/data/1001039/0001001039-13-000164.txt
1001115,GEOSPACE TECHNOLOGIES CORP,10-K,2013-11-22,edgar/data/1001115/0001564590-13-001356.txt
1001258,ASTA FUNDING INC,10-K,2013-12-13,edgar/data/1001258/0001193125-13-473407.txt
1001606,BLOUNT INTERNATIONAL INC,10-K/A,2013-11-22,edgar/data/1001606/0001001606-13-000032.txt
1001907,ASTROTECH Corp \WA\,10-K,2013-10-15,edgar/data/1001907/0001515971-13-000465.txt
1001907,ASTROTECH Corp \WA\,NT 10-K,2013-10-01,edgar/data/1001907/0001515971-13-000441.txt
1002037,"LEARNING TREE INTERNATIONAL, INC.",10-K,2013-12-12,edgar/data/1002037/0001437749-13-015924.txt
1002360,"ABSOLUTE POTENTIAL, INC.",10-K,2013-12-24,edgar/data/1002360/0001000096-13-000182.txt
1002517,"Nuance Communications, Inc.",10-K,2013-11-29,edgar/data/1002517/0001002517-13-000060.txt
1002590,STAR GAS PARTNERS LP,10-K/A,2013-12-13,edgar/data/1002590/0001193125-13-473200.txt
1002590,STAR GAS PARTNERS LP,10-K,2013-12-11,edgar/data/1002590/0001193125-13-469866.txt
1003078,MSC INDUSTRIAL DIRECT CO INC,10-K,2013-10-30,edgar/data/1003078/0001144204-13-057653.txt
1003344,HEADWATERS INC,10-K,2013-11-19,edgar/data/1003344/0001047469-13-010636.txt
10048,BARNWELL INDUSTRIES INC,10-K,2013-12-16,edgar/data/10048/0001104659-13-090370.txt
100493,TYSON FOODS INC,10-K,2013-11-18,edgar/data/100493/0000100493-13-000079.txt
1005101,CONCIERGE TECHNOLOGIES INC,10-K,2013-10-15,edgar/data/1005101/0001354488-13-005701.txt
1005210,SUBURBAN PROPANE PARTNERS LP,10-K,2013-11-27,edgar/data/1005210/0001193125-13-456057.txt
1005276,MOHEGAN TRIBAL GAMING AUTHORITY,10-K,2013-12-27,edgar/data/1005276/0001005276-13-000016.txt
100548,UGI UTILITIES INC,10-K,2013-12-16,edgar/data/100548/0000100548-13-000018.txt
1005731,IDT CORP,10-K,2013-10-15,edgar/data/1005731/0001193125-13-399818.txt
1006028,"PURE BIOSCIENCE, INC.",10-K,2013-10-24,edgar/data/1006028/0001193125-13-409928.txt
1009626,BROCADE COMMUNICATIONS SYSTEMS INC,10-K,2013-12-16,edgar/data/1009626/0001009626-13-000127.txt
1012704,DRIVETIME AUTOMOTIVE GROUP INC,10-K/A,2013-11-26,edgar/data/1012704/0001012704-13-000037.txt
1013237,FACTSET RESEARCH SYSTEMS INC,10-K,2013-10-30,edgar/data/1013237/0001437749-13-013610.txt
1014507,"SIRONA DENTAL SYSTEMS, INC.",10-K,2013-11-22,edgar/data/1014507/0001193125-13-451128.txt
101462,UNITED REFINING CO,10-K,2013-11-26,edgar/data/101462/0001193125-13-454420.txt
1014739,"BioScrip, Inc.",10-K/A,2013-12-16,edgar/data/1014739/0001014739-13-000014.txt
1016951,DIGITAL CREATIVE DEVELOPMENT CORP,10-K,2013-10-21,edgar/data/1016951/0001471242-13-000372.txt
1018281,INTEGRAL TECHNOLOGIES INC,10-K/A,2013-12-13,edgar/data/1018281/0001140361-13-046109.txt
1019361,ROFIN SINAR TECHNOLOGIES INC,10-K,2013-11-29,edgar/data/1019361/0001019361-13-000048.txt
1020859,UNITED NATURAL FOODS INC,10-K,2013-10-01,edgar/data/1020859/0001020859-13-000178.txt
1021917,"JV GROUP, INC.",10-K,2013-10-15,edgar/data/1021917/0001072588-13-000113.txt
1022505,NATIONAL SCIENTIFIC CORP/AZ,10-K,2013-10-10,edgar/data/1022505/0000721748-13-000671.txt
1023459,SIMULATIONS PLUS INC,10-K,2013-11-18,edgar/data/1023459/0001019687-13-004444.txt
102379,URS CORP /NEW/,10-K/A,2013-11-21,edgar/data/102379/0000102379-13-000082.txt
1023844,NATIONAL HOLDINGS CORP,10-K,2013-12-27,edgar/data/1023844/0001437749-13-016493.txt
1024478,ROCKWELL AUTOMATION INC,10-K,2013-11-18,edgar/data/1024478/0001024478-13-000035.txt
102741,VALSPAR CORP,10-K,2013-12-20,edgar/data/102741/0000897101-13-001932.txt
1028215,KMG CHEMICALS INC,10-K,2013-10-30,edgar/data/1028215/0001193125-13-418701.txt
1028215,KMG CHEMICALS INC,NT 10-K,2013-10-15,edgar/data/1028215/0001193125-13-399245.txt
1028985,"Spectrum Brands, Inc.",10-K,2013-11-27,edgar/data/1028985/0001028985-13-000009.txt
1029744,SONIC FOUNDRY INC,10-K,2013-12-26,edgar/data/1029744/0001193125-13-484680.txt
103145,VEECO INSTRUMENTS INC,10-K,2013-11-04,edgar/data/103145/0001047469-13-010200.txt
1031896,AMERICAN SOIL TECHNOLOGIES INC,NT 10-K,2013-12-30,edgar/data/1031896/0001165527-13-001066.txt
1032220,MAXIMUS INC,10-K,2013-11-19,edgar/data/1032220/0001047469-13-010633.txt
103595,VILLAGE SUPER MARKET INC,10-K,2013-10-08,edgar/data/103595/0001096906-13-001552.txt
103872,"VOLT INFORMATION SCIENCES, INC.",10-K,2013-11-15,edgar/data/103872/0001193125-13-444053.txt
1039466,XSUNX INC,NT 10-K,2013-12-30,edgar/data/1039466/0001511164-13-000577.txt
1040270,UNITED REFINING CO /PA/,10-K,2013-11-26,edgar/data/1040270/0001193125-13-454420.txt
1041803,PRICESMART INC,10-K,2013-10-30,edgar/data/1041803/0001041803-13-000052.txt
104207,WALGREEN CO,10-K,2013-10-21,edgar/data/104207/0000104207-13-000104.txt
1044577,"China Precision Steel, Inc.",10-K,2013-10-11,edgar/data/1044577/0001493152-13-001985.txt
1044577,"China Precision Steel, Inc.",NT 10-K/A,2013-10-03,edgar/data/1044577/0001493152-13-001921.txt
1045539,KIANTONE PIPELINE CO,10-K,2013-11-26,edgar/data/1045539/0001193125-13-454420.txt
1045540,KWIK FIL INC,10-K,2013-11-26,edgar/data/1045540/0001193125-13-454420.txt
1045541,KWIK FILL CORP,10-K,2013-11-26,edgar/data/1045541/0001193125-13-454420.txt
1045542,UNITED JET CENTER INC,10-K,2013-11-26,edgar/data/1045542/0001193125-13-454420.txt
1045543,BELL OIL CORP,10-K,2013-11-26,edgar/data/1045543/0001193125-13-454420.txt
1045544,PPC INC,10-K,2013-11-26,edgar/data/1045544/0001193125-13-454420.txt
1045545,SUPER TEST PETROLEUM INC,10-K,2013-11-26,edgar/data/1045545/0001193125-13-454420.txt
1045546,VULCAN ASPHALT REFINING CORP,10-K,2013-11-26,edgar/data/1045546/0001193125-13-454420.txt
1045547,INDEPENDENT GASOLINE & OIL CO OF ROCHESTER,10-K,2013-11-26,edgar/data/1045547/0001193125-13-454420.txt
1045742,LIVEDEAL INC,NT 10-K,2013-12-27,edgar/data/1045742/0001019687-13-004993.txt
1045829,VANGUARD HEALTH SYSTEMS INC,10-K/A,2013-10-01,edgar/data/1045829/0001045829-13-000070.txt
1045942,"SecureAlert, Inc.",NT 10-K,2013-12-30,edgar/data/1045942/0001096906-13-001905.txt
1046050,TIMBERLAND BANCORP INC,10-K,2013-12-11,edgar/data/1046050/0000939057-13-000539.txt
104819,WASHINGTON GAS LIGHT CO,10-K,2013-11-20,edgar/data/104819/0001193125-13-447277.txt
1048268,INTEGRATED ELECTRICAL SERVICES INC,10-K,2013-12-17,edgar/data/1048268/0001193125-13-476228.txt
1048695,F5 NETWORKS INC,10-K,2013-11-22,edgar/data/1048695/0001445305-13-003079.txt
104897,"WSI INDUSTRIES, INC.",10-K,2013-10-24,edgar/data/104897/0001437749-13-013359.txt
1050007,NUTRACEUTICAL INTERNATIONAL CORP,10-K,2013-11-26,edgar/data/1050007/0001047469-13-010881.txt
105132,WD 40 CO,10-K,2013-10-22,edgar/data/105132/0000105132-13-000015.txt
1057060,MARINEMAX INC,10-K,2013-12-06,edgar/data/1057060/0001193125-13-465179.txt
1059131,NASB FINANCIAL INC,10-K,2013-12-16,edgar/data/1059131/0001193125-13-474717.txt
1059262,STANDARD PARKING CORP,10-K/A,2013-11-19,edgar/data/1059262/0001047469-13-010635.txt
1059784,GENEREX BIOTECHNOLOGY CORP,10-K/A,2013-10-18,edgar/data/1059784/0001554795-13-000610.txt
1059784,GENEREX BIOTECHNOLOGY CORP,10-K,2013-10-11,edgar/data/1059784/0001554795-13-000602.txt
1060426,"AOXING PHARMACEUTICAL COMPANY, INC.",10-K,2013-10-15,edgar/data/1060426/0001096906-13-001576.txt
1060822,CARTERS INC,10-K/A,2013-12-11,edgar/data/1060822/0001060822-13-000044.txt
1061164,PEREGRINE INDUSTRIES INC,10-K,2013-10-11,edgar/data/1061164/0001295345-13-000175.txt
1061169,CEPHAS HOLDING CORP.,10-K,2013-11-12,edgar/data/1061169/0001061169-13-000009.txt
1062273,SpendSmart Payments Co,10-K/A,2013-10-07,edgar/data/1062273/0001144204-13-054211.txt
1062273,SpendSmart Payments Co,10-K,2013-12-30,edgar/data/1062273/0001144204-13-069417.txt
1062438,PULASKI FINANCIAL CORP,10-K,2013-12-16,edgar/data/1062438/0001104659-13-090380.txt
1064090,PRETIUM PACKAGING L L C,10-K,2013-12-05,edgar/data/1064090/0001064090-13-000018.txt
1065049,LEAP WIRELESS INTERNATIONAL INC,10-K/A,2013-10-28,edgar/data/1065049/0001193125-13-412388.txt
1065860,LIME ENERGY CO.,10-K/A,2013-10-11,edgar/data/1065860/0001104659-13-075374.txt
1066026,CONCUR TECHNOLOGIES INC,10-K,2013-11-13,edgar/data/1066026/0001066026-13-000022.txt
1068717,RTI INTERNATIONAL METALS INC,10-K/A,2013-11-12,edgar/data/1068717/0001193125-13-436550.txt
1068874,IMPLANT SCIENCES CORP,10-K/A,2013-10-28,edgar/data/1068874/0001068874-13-000057.txt
1069533,RGC RESOURCES INC,10-K,2013-12-11,edgar/data/1069533/0001193125-13-469474.txt
1070154,STERLING BANCORP,10-K,2013-12-09,edgar/data/1070154/0001445305-13-003139.txt
1071840,"NEW ENERGY TECHNOLOGIES, INC.",10-K,2013-11-27,edgar/data/1071840/0001477932-13-005887.txt
1072248,M LINE HOLDINGS INC,10-K,2013-12-31,edgar/data/1072248/0000721748-13-000968.txt
1072248,M LINE HOLDINGS INC,NT 10-K,2013-10-01,edgar/data/1072248/0001144204-13-053290.txt
1073748,YUMMIES INC,10-K,2013-12-18,edgar/data/1073748/0001096906-13-001873.txt
1074828,VISUALANT INC,NT 10-K,2013-12-30,edgar/data/1074828/0001161697-13-000920.txt
1075058,MLM INDEX FUND,10-K/A,2013-10-01,edgar/data/1075058/0001140361-13-037407.txt
1076744,"PopBig, Inc.",10-K,2013-12-20,edgar/data/1076744/0001096906-13-001890.txt
107687,WINNEBAGO INDUSTRIES INC,10-K,2013-10-29,edgar/data/107687/0000107687-13-000048.txt
1079282,"Bio-Matrix Scientific Group, Inc.",10-K/A,2013-12-27,edgar/data/1079282/0001554795-13-000765.txt
1079282,"Bio-Matrix Scientific Group, Inc.",NT 10-K,2013-12-30,edgar/data/1079282/0001102624-13-001564.txt
10795,BECTON DICKINSON & CO,10-K,2013-11-27,edgar/data/10795/0001193125-13-456802.txt
1080602,Novation Holdings Inc,10-K,2013-12-16,edgar/data/1080602/0001080602-13-000062.txt
1080602,Novation Holdings Inc,NT 10-K,2013-11-29,edgar/data/1080602/0001080602-13-000056.txt
1080747,GREENWAY MEDICAL TECHNOLOGIES INC,10-K/A,2013-10-28,edgar/data/1080747/0001188112-13-003043.txt
1081568,FIRST ASIA HOLDINGS Ltd,NT 10-K,2013-12-30,edgar/data/1081568/0001137050-13-000384.txt
108312,"Woodward, Inc.",10-K,2013-11-14,edgar/data/108312/0000108312-13-000018.txt
1083743,"Flux Power Holdings, Inc.",10-K,2013-10-15,edgar/data/1083743/0001144204-13-055300.txt
1084384,ELEPHANT TALK COMMUNICATIONS CORP,10-K/A,2013-11-21,edgar/data/1084384/0001144204-13-063569.txt
1084752,EON COMMUNICATIONS CORP,10-K,2013-11-12,edgar/data/1084752/0001144204-13-060627.txt
1084752,EON COMMUNICATIONS CORP,NT 10-K,2013-10-29,edgar/data/1084752/0001144204-13-057434.txt
1088312,UNI CORE HOLDINGS CORP,10-K,2013-10-15,edgar/data/1088312/0001144204-13-055106.txt
1090872,AGILENT TECHNOLOGIES INC,10-K,2013-12-19,edgar/data/1090872/0001090872-13-000029.txt
109177,HARBINGER GROUP INC.,10-K/A,2013-12-06,edgar/data/109177/0001193125-13-465385.txt
109177,HARBINGER GROUP INC.,10-K,2013-11-27,edgar/data/109177/0000109177-13-000026.txt
1092367,SYCAMORE NETWORKS INC,10-K,2013-10-18,edgar/data/1092367/0001193125-13-403928.txt
1093430,CASPIAN SERVICES INC,NT 10-K,2013-12-30,edgar/data/1093430/0001038838-13-000418.txt
1095133,ISA INTERNATIONALE INC,NT 10-K,2013-12-30,edgar/data/1095133/0001095133-13-000017.txt
1096275,"Franchise Holdings International, Inc.",10-K,2013-12-13,edgar/data/1096275/0001354488-13-006837.txt
1096555,"Myriad Interactive Media, Inc.",10-K/A,2013-10-18,edgar/data/1096555/0001158694-13-000046.txt
1096555,"Myriad Interactive Media, Inc.",10-K,2013-10-15,edgar/data/1096555/0001551163-13-000124.txt
1096637,SaviCorp,10-K,2013-10-15,edgar/data/1096637/0001019687-13-003871.txt
1096637,SaviCorp,10-K,2013-11-27,edgar/data/1096637/0001019687-13-004660.txt
1096637,SaviCorp,10-K,2013-12-18,edgar/data/1096637/0001019687-13-004887.txt
1096752,ENERGIZER HOLDINGS INC,10-K,2013-11-21,edgar/data/1096752/0001096752-13-000159.txt
1097718,ICEWEB INC,NT 10-K,2013-12-27,edgar/data/1097718/0001549212-13-000032.txt
1098009,CROWN MARKETING,10-K,2013-10-02,edgar/data/1098009/0001002334-13-000058.txt
1098009,CROWN MARKETING,NT 10-K,2013-10-01,edgar/data/1098009/0001002334-13-000055.txt
1099369,DESTINY MEDIA TECHNOLOGIES INC,10-K,2013-11-25,edgar/data/1099369/0001062993-13-006027.txt
