cik,company_name,form_type,date_filed,edgar_url
1000180,SANDISK CORP,10-K,2011-02-23,edgar/data/1000180/0001000180-11-000006.txt
1000209,MEDALLION FINANCIAL CORP,10-K,2011-03-14,edgar/data/1000209/0001193125-11-064323.txt
1000228,HENRY SCHEIN INC,10-K,2011-02-22,edgar/data/1000228/0001000228-11-000014.txt
1000229,CORE LABORATORIES N V,10-K,2011-02-22,edgar/data/1000229/0001000229-11-000015.txt
1000230,OPTICAL CABLE CORP,10-K,2011-01-24,edgar/data/1000230/0001193125-11-012997.txt
1000232,KENTUCKY BANCSHARES INC /KY/,10-K,2011-03-31,edgar/data/1000232/0001104659-11-017803.txt
1000278,PACIFICHEALTH LABORATORIES INC,10-K,2011-03-08,edgar/data/1000278/0001144204-11-013302.txt
1000298,IMPAC MORTGAGE HOLDINGS INC,10-K,2011-03-31,edgar/data/1000298/0001047469-11-002998.txt
1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,10-K,2011-02-25,edgar/data/1000623/0001140361-11-012277.txt
1000683,BLONDER TONGUE LABORATORIES INC,10-K,2011-03-21,edgar/data/1000683/0001307942-11-000013.txt
1000694,NOVAVAX INC,10-K,2011-03-28,edgar/data/1000694/0001144204-11-017669.txt
1000694,NOVAVAX INC,NT 10-K,2011-03-17,edgar/data/1000694/0001144204-11-015429.txt
1000697,WATERS CORP /DE/,10-K,2011-02-25,edgar/data/1000697/0000950123-11-018381.txt
1000753,ADMINISTAFF INC \DE\,10-K,2011-02-14,edgar/data/1000753/0001140361-11-008714.txt
1001082,DISH Network CORP,10-K,2011-02-24,edgar/data/1001082/0001104659-11-009436.txt
1001171,BROADWAY FINANCIAL CORP \DE\,NT 10-K,2011-03-31,edgar/data/1001171/0001193125-11-084813.txt
100122,TUCSON ELECTRIC POWER CO,10-K/A,2011-03-02,edgar/data/100122/0000950123-11-021221.txt
100122,TUCSON ELECTRIC POWER CO,10-K,2011-03-01,edgar/data/100122/0000950123-11-020431.txt
1001233,SANGAMO BIOSCIENCES INC,10-K,2011-02-17,edgar/data/1001233/0001193125-11-038131.txt
1001288,LEXMARK INTERNATIONAL INC /KY/,10-K,2011-02-28,edgar/data/1001288/0000950123-11-019815.txt
1001316,MANHATTAN PHARMACEUTICALS INC,10-K,2011-03-31,edgar/data/1001316/0001144204-11-018740.txt
1001385,NORTHWEST PIPE CO,10-K,2011-03-22,edgar/data/1001385/0001193125-11-072933.txt
1001385,NORTHWEST PIPE CO,NT 10-K,2011-03-17,edgar/data/1001385/0001193125-11-070108.txt
1001463,ACACIA AUTOMOTIVE INC,NT 10-K,2011-03-31,edgar/data/1001463/0001185185-11-000402.txt
1001601,MGT CAPITAL INVESTMENTS INC,NT 10-K,2011-03-30,edgar/data/1001601/0001144204-11-018127.txt
1001604,EMERITUS CORP\WA\,10-K,2011-03-11,edgar/data/1001604/0001001604-11-000022.txt
1001606,BLOUNT INTERNATIONAL INC,10-K,2011-03-09,edgar/data/1001606/0001193125-11-060637.txt
1001614,TENGASCO INC,10-K/A,2011-01-24,edgar/data/1001614/0001001614-11-000003.txt
1001614,TENGASCO INC,10-K/A,2011-01-28,edgar/data/1001614/0001001614-11-000005.txt
1001614,TENGASCO INC,10-K,2011-03-31,edgar/data/1001614/0001001614-11-000014.txt
1001838,SOUTHERN COPPER CORP/,10-K,2011-03-01,edgar/data/1001838/0001104659-11-011083.txt
1001902,INTEVAC INC,10-K,2011-02-25,edgar/data/1001902/0000950123-11-018655.txt
1002225,ADVENT SOFTWARE INC /DE/,10-K,2011-03-09,edgar/data/1002225/0001047469-11-001908.txt
1002388,"ACCELRYS, INC.",10-KT,2011-03-15,edgar/data/1002388/0001193125-11-066210.txt
1002390,"America's Suppliers, Inc.",10-K,2011-03-03,edgar/data/1002390/0001144204-11-012590.txt
1002422,PHYTOMEDICAL TECHNOLOGIES INC,10-K,2011-03-28,edgar/data/1002422/0001144204-11-017561.txt
1002519,CRONOS GLOBAL INCOME FUND XVI LP,10-K,2011-03-16,edgar/data/1002519/0000950123-11-025923.txt
1002520,SPEEDUS CORP,10-K/A,2011-02-14,edgar/data/1002520/0001140361-11-009367.txt
1002531,TOLLGRADE COMMUNICATIONS INC \PA\,10-K,2011-03-10,edgar/data/1002531/0000950123-11-024007.txt
1002554,EMERGING VISION INC,10-K,2011-03-31,edgar/data/1002554/0001002554-11-000012.txt
1002761,AMERICREDIT FINANCIAL SERVICES INC,10-K,2011-03-28,edgar/data/1002761/0001193125-11-079186.txt
1002761,AMERICREDIT FINANCIAL SERVICES INC,10-K,2011-03-28,edgar/data/1002761/0001193125-11-079190.txt
1002761,AMERICREDIT FINANCIAL SERVICES INC,10-K,2011-03-28,edgar/data/1002761/0001193125-11-079209.txt
1002761,AMERICREDIT FINANCIAL SERVICES INC,10-K,2011-03-28,edgar/data/1002761/0001193125-11-079211.txt
1002761,AMERICREDIT FINANCIAL SERVICES INC,10-K,2011-03-28,edgar/data/1002761/0001193125-11-079214.txt
1002761,AMERICREDIT FINANCIAL SERVICES INC,10-K,2011-03-28,edgar/data/1002761/0001193125-11-079221.txt
1002910,AMEREN CORP,10-K,2011-02-24,edgar/data/1002910/0001193125-11-044880.txt
1003022,ZORAN CORP \DE\,10-K,2011-03-07,edgar/data/1003022/0001193125-11-056851.txt
1003124,PHARMACEUTICAL PRODUCT DEVELOPMENT INC,10-K,2011-02-25,edgar/data/1003124/0001193125-11-046748.txt
1003130,LCA VISION INC,10-K,2011-03-08,edgar/data/1003130/0001193125-11-058748.txt
