cik,company_name,form_type,date_filed,edgar_url
1000045,NICHOLAS FINANCIAL INC,10-K,2013-06-14,edgar/data/1000045/0001193125-13-259413.txt
1000298,IMPAC MORTGAGE HOLDINGS INC,10-K/A,2013-04-30,edgar/data/1000298/0001047469-13-005210.txt
1000683,BLONDER TONGUE LABORATORIES INC,10-K,2013-04-01,edgar/data/1000683/0001144204-13-018986.txt
1001171,BROADWAY FINANCIAL CORP \DE\,10-K/A,2013-05-09,edgar/data/1001171/0001193125-13-211477.txt
1001171,BROADWAY FINANCIAL CORP \DE\,10-K,2013-04-01,edgar/data/1001171/0001193125-13-136900.txt
1001316,"TG THERAPEUTICS, INC.",10-K/A,2013-06-10,edgar/data/1001316/0001144204-13-034125.txt
1001601,MGT CAPITAL INVESTMENTS INC,10-K/A,2013-04-30,edgar/data/1001601/0001144204-13-025066.txt
1001601,MGT CAPITAL INVESTMENTS INC,10-K/A,2013-05-31,edgar/data/1001601/0001144204-13-032650.txt
1001871,INVESTORS CAPITAL HOLDINGS LTD,10-K,2013-06-20,edgar/data/1001871/0001562762-13-000179.txt
1002047,"NetApp, Inc.",10-K,2013-06-17,edgar/data/1002047/0001193125-13-261334.txt
1002135,WESTELL TECHNOLOGIES INC,10-K,2013-05-24,edgar/data/1002135/0001002135-13-000018.txt
1003201,MUNICIPAL MORTGAGE & EQUITY LLC,10-K/A,2013-04-01,edgar/data/1003201/0001144204-13-019225.txt
1004411,GILLA INC.,10-K,2013-04-01,edgar/data/1004411/0001354488-13-001651.txt
1004724,ADCARE HEALTH SYSTEMS INC,NT 10-K,2013-04-02,edgar/data/1004724/0001104659-13-026330.txt
1004989,SPAR GROUP INC,10-K,2013-04-02,edgar/data/1004989/0001437749-13-003821.txt
1004989,SPAR GROUP INC,NT 10-K,2013-04-02,edgar/data/1004989/0001437749-13-003855.txt
1005229,COLUMBUS MCKINNON CORP,10-K,2013-05-29,edgar/data/1005229/0001140361-13-023206.txt
1005699,MAGICJACK VOCALTEC LTD,10-K/A,2013-04-30,edgar/data/1005699/0001178913-13-001294.txt
1005699,MAGICJACK VOCALTEC LTD,10-K,2013-04-02,edgar/data/1005699/0001178913-13-000986.txt
1005758,"IO World Media, Inc",10-K,2013-04-15,edgar/data/1005758/0001213900-13-001810.txt
1005758,"IO World Media, Inc",NT 10-K,2013-04-01,edgar/data/1005758/0001213900-13-001533.txt
100591,ARGAN INC,10-K,2013-04-12,edgar/data/100591/0001193125-13-153301.txt
1006269,LORAL SPACE & COMMUNICATIONS INC.,10-K/A,2013-04-11,edgar/data/1006269/0001144204-13-021336.txt
1007019,COFFEE HOLDING CO INC,10-K/A,2013-04-02,edgar/data/1007019/0001354488-13-001726.txt
1007587,KVH INDUSTRIES INC \DE\,10-K,2013-04-02,edgar/data/1007587/0001007587-13-000015.txt
1008586,STREAMLINE HEALTH SOLUTIONS INC.,10-K,2013-04-26,edgar/data/1008586/0001445305-13-000932.txt
1009759,CAPSTONE TURBINE Corp,10-K,2013-06-13,edgar/data/1009759/0001047469-13-006952.txt
