cik,company_name,form_type,date_filed,edgar_url
1001250,ESTEE LAUDER COMPANIES INC,10-K,2011-08-22,edgar/data/1001250/0001104659-11-048120.txt
1001279,INTERNET AMERICA INC,10-K,2011-09-27,edgar/data/1001279/0001144204-11-055102.txt
1001426,PERICOM SEMICONDUCTOR CORP,10-K,2011-08-30,edgar/data/1001426/0001144204-11-050424.txt
1001907,ASTROTECH Corp \WA\,10-K,2011-09-20,edgar/data/1001907/0000950123-11-085361.txt
1002638,OPEN TEXT CORP,10-K,2011-08-15,edgar/data/1002638/0001193125-11-222831.txt
1002811,KENSEY NASH CORP,10-K,2011-09-12,edgar/data/1002811/0001193125-11-245994.txt
1002822,FIRST AMERICAN SCIENTIFIC CORP \NV\,NT 10-K,2011-09-28,edgar/data/1002822/0001002014-11-000452.txt
100378,TWIN DISC INC,10-K/A,2011-09-19,edgar/data/100378/0000100378-11-000045.txt
100378,TWIN DISC INC,10-K,2011-09-13,edgar/data/100378/0000100378-11-000038.txt
1003961,PATAPSCO BANCORP INC,NT 10-K,2011-09-28,edgar/data/1003961/0001144204-11-055271.txt
100412,250 WEST 57TH ST ASSOCIATES L.L.C.,10-K,2011-08-17,edgar/data/100412/0000100412-11-000008.txt
1005101,CONCIERGE TECHNOLOGIES INC,NT 10-K,2011-09-27,edgar/data/1005101/0001354488-11-003587.txt
1005286,LANDEC CORP \CA\,10-K,2011-08-08,edgar/data/1005286/0001144204-11-044333.txt
1006177,FFD FINANCIAL CORP/OH,10-K,2011-09-28,edgar/data/1006177/0001140361-11-047106.txt
1006459,Homeland Security Capital CORP,NT 10-K,2011-09-29,edgar/data/1006459/0000950123-11-087620.txt
1006655,EVOLUTION PETROLEUM CORP,10-K,2011-09-13,edgar/data/1006655/0001104659-11-051508.txt
1006830,CONSUMERS BANCORP INC /OH/,10-K,2011-09-16,edgar/data/1006830/0001144204-11-053477.txt
100726,UNIFI INC,10-K,2011-09-09,edgar/data/100726/0001437749-11-006738.txt
1010470,PROVIDENT FINANCIAL HOLDINGS INC,10-K,2011-09-13,edgar/data/1010470/0000939057-11-000291.txt
1011006,YAHOO INC,10-K/A,2011-09-16,edgar/data/1011006/0001193125-11-250387.txt
1011060,AdvanSource Biomaterials Corp,10-K,2011-07-14,edgar/data/1011060/0001011060-11-000011.txt
1012493,FERRELLGAS PARTNERS FINANCE CORP,10-K,2011-09-26,edgar/data/1012493/0001104659-11-053149.txt
1014653,PROFILE TECHNOLOGIES INC,NT 10-K,2011-09-28,edgar/data/1014653/0001144204-11-055318.txt
1014739,"BioScrip, Inc.",10-K/A,2011-07-14,edgar/data/1014739/0001014739-11-000027.txt
1016504,INTEGRATED BIOPHARMA INC,NT 10-K,2011-09-28,edgar/data/1016504/0001016504-11-000008.txt
1016951,DIGITAL CREATIVE DEVELOPMENT CORP,10-K,2011-09-30,edgar/data/1016951/0001213900-11-005376.txt
1017907,FIRST ACCEPTANCE CORP /DE/,10-K,2011-08-31,edgar/data/1017907/0000950123-11-081802.txt
1018281,INTEGRAL TECHNOLOGIES INC,10-K,2011-09-28,edgar/data/1018281/0001140361-11-047149.txt
1018336,INFORMATION ARCHITECTS CORP,10-K/A,2011-07-01,edgar/data/1018336/0001018336-11-000038.txt
1018336,INFORMATION ARCHITECTS CORP,10-K/A,2011-07-01,edgar/data/1018336/0001018336-11-000042.txt
1020302,"INTERNET INFINITY, INC.",10-K,2011-07-14,edgar/data/1020302/0001437749-11-004794.txt
1020475,"NorWesTech, Inc.",10-K,2011-09-27,edgar/data/1020475/0001144204-11-055041.txt
1020859,UNITED NATURAL FOODS INC,10-K,2011-09-28,edgar/data/1020859/0001047469-11-008270.txt
1021917,"ASPI, INC.",NT 10-K,2011-09-28,edgar/data/1021917/0001072588-11-000195.txt
102198,COMPETITIVE TECHNOLOGIES INC,10-K/A,2011-07-21,edgar/data/102198/0001360865-11-000118.txt
102198,COMPETITIVE TECHNOLOGIES INC,10-K/A,2011-09-15,edgar/data/102198/0001360865-11-000159.txt
1022225,OPLINK COMMUNICATIONS INC,10-K,2011-09-16,edgar/data/1022225/0001022225-11-000024.txt
1022368,"SCHIFF NUTRITION INTERNATIONAL, INC.",10-K,2011-08-15,edgar/data/1022368/0001022368-11-000040.txt
1023198,AMASYS CORP,10-K,2011-09-26,edgar/data/1023198/0001023198-11-000015.txt
1024022,MEDIA SCIENCES INTERNATIONAL INC,NT 10-K,2011-09-28,edgar/data/1024022/0001070188-11-000073.txt
1024452,SMF ENERGY CORP,10-K,2011-09-28,edgar/data/1024452/0001144204-11-055366.txt
1024626,"CANNABIS SCIENCE, INC.",NT 10-K,2011-08-16,edgar/data/1024626/0001517126-11-000191.txt
1029023,SYNTROLEUM CORP,10-K/A,2011-07-18,edgar/data/1029023/0000950123-11-066243.txt
1029356,"Regatta Capital Partners, Inc.",10-K/A,2011-09-13,edgar/data/1029356/0001079973-11-000746.txt
1030484,RENAISSANCE LEARNING INC,10-K/A,2011-08-31,edgar/data/1030484/0001140361-11-044209.txt
1030916,PREMIER HOLDING CORP.,10-K/A,2011-07-01,edgar/data/1030916/0001086715-11-000051.txt
1030916,PREMIER HOLDING CORP.,10-K/A,2011-07-21,edgar/data/1030916/0001086715-11-000062.txt
1030916,PREMIER HOLDING CORP.,10-K/A,2011-07-21,edgar/data/1030916/0001086715-11-000063.txt
1030916,PREMIER HOLDING CORP.,10-K/A,2011-08-08,edgar/data/1030916/0001086715-11-000069.txt
103096,TRC COMPANIES INC /DE/,10-K,2011-09-08,edgar/data/103096/0001515316-11-000040.txt
1031028,GLOBECOMM SYSTEMS INC,10-K,2011-09-13,edgar/data/1031028/0000950123-11-084268.txt
1035354,SENESCO TECHNOLOGIES INC,10-K,2011-09-28,edgar/data/1035354/0001144204-11-055379.txt
1036500,WNC HOUSING TAX CREDIT FUND VI LP SERIES 5,10-K,2011-09-23,edgar/data/1036500/0001084067-11-000272.txt
1038133,HESKA CORP,10-K/A,2011-08-19,edgar/data/1038133/0000950123-11-078899.txt
1038773,CORNERSTONE BANCSHARES INC,10-K/A,2011-09-09,edgar/data/1038773/0001144204-11-052124.txt
1039065,OSI SYSTEMS INC,10-K,2011-08-26,edgar/data/1039065/0001047469-11-007670.txt
1039280,NETSOL TECHNOLOGIES INC,10-K/A,2011-07-28,edgar/data/1039280/0001171843-11-002215.txt
1039280,NETSOL TECHNOLOGIES INC,10-K,2011-09-16,edgar/data/1039280/0001171843-11-002778.txt
1039757,ROBOCOM SYSTEMS INTERNATIONAL INC,10-K,2011-08-29,edgar/data/1039757/0001140361-11-043927.txt
1040470,AEHR TEST SYSTEMS,10-K,2011-08-26,edgar/data/1040470/0001040470-11-000044.txt
1040721,APOLO GOLD & ENERGY INC.,NT 10-K,2011-09-28,edgar/data/1040721/0001079973-11-000773.txt
1041009,Revolutions Medical CORP,10-K/A,2011-09-16,edgar/data/1041009/0001144204-11-053539.txt
1041177,Sutor Technology Group LTD,NT 10-K,2011-09-29,edgar/data/1041177/0001144204-11-055448.txt
1041514,NET 1 UEPS TECHNOLOGIES INC,10-K,2011-08-25,edgar/data/1041514/0001062993-11-003461.txt
1041550,HOPFED BANCORP INC,10-K/A,2011-07-01,edgar/data/1041550/0001193125-11-180550.txt
1042728,CPC OF AMERICA INC,10-K/A,2011-09-07,edgar/data/1042728/0001019687-11-002908.txt
1042821,PERVASIVE SOFTWARE INC,10-K,2011-09-13,edgar/data/1042821/0001193125-11-246911.txt
1044577,"China Precision Steel, Inc.",10-K,2011-09-28,edgar/data/1044577/0001144204-11-055341.txt
1044650,CALAIS RESOURCES INC,10-K/A,2011-08-12,edgar/data/1044650/0000949353-11-000260.txt
1044650,CALAIS RESOURCES INC,10-K/A,2011-08-12,edgar/data/1044650/0000949353-11-000262.txt
1044650,CALAIS RESOURCES INC,10-K/A,2011-08-12,edgar/data/1044650/0000949353-11-000264.txt
1044650,CALAIS RESOURCES INC,10-K/A,2011-08-12,edgar/data/1044650/0000949353-11-000266.txt
1044650,CALAIS RESOURCES INC,10-K,2011-07-15,edgar/data/1044650/0000949353-11-000235.txt
1044650,CALAIS RESOURCES INC,10-K,2011-08-29,edgar/data/1044650/0000949353-11-000292.txt
1045829,VANGUARD HEALTH SYSTEMS INC,10-K,2011-08-25,edgar/data/1045829/0000950123-11-080222.txt
1048501,"XFormity Technologies, Inc.",NT 10-K,2011-09-28,edgar/data/1048501/0001011034-11-000123.txt
1048911,FEDEX CORP,10-K,2011-07-12,edgar/data/1048911/0000950123-11-065246.txt
1049505,US DATAWORKS INC,10-K/A,2011-07-18,edgar/data/1049505/0001144204-11-040979.txt
1049505,US DATAWORKS INC,10-K,2011-07-13,edgar/data/1049505/0001144204-11-040350.txt
1049521,MERCURY COMPUTER SYSTEMS INC,10-K,2011-08-18,edgar/data/1049521/0001193125-11-226448.txt
1049782,BROOKLINE BANCORP INC,10-K/A,2011-07-13,edgar/data/1049782/0001104659-11-038811.txt
1052284,"Tongli Pharmaceuticals (USA), Inc.",10-K,2011-07-14,edgar/data/1052284/0001144204-11-040622.txt
1055355,SONOSITE INC,10-K/A,2011-09-01,edgar/data/1055355/0001288794-11-000030.txt
1055454,SCHOOL SPECIALTY INC,10-K,2011-07-01,edgar/data/1055454/0001193125-11-179993.txt
105608,WELLS GARDNER ELECTRONICS CORP,10-K/A,2011-08-03,edgar/data/105608/0000105608-11-000012.txt
1056756,NBC ACQUISITION CORP,10-K,2011-07-14,edgar/data/1056756/0000950123-11-065695.txt
1057695,"NETWORK 1 FINANCIAL GROUP, INC.",NT 10-K,2011-09-29,edgar/data/1057695/0001144204-11-055527.txt
1058828,HYPERTENSION DIAGNOSTICS INC /MN,10-K,2011-09-16,edgar/data/1058828/0001058828-11-000022.txt
1059272,"bebe stores, inc.",10-K,2011-09-15,edgar/data/1059272/0001193125-11-249281.txt
1059786,MIPS TECHNOLOGIES INC,10-K,2011-08-26,edgar/data/1059786/0001103969-11-000029.txt
1060409,"SUNVESTA, INC.",10-K,2011-09-06,edgar/data/1060409/0001211524-11-000225.txt
106040,WESTERN DIGITAL CORP,10-K,2011-08-12,edgar/data/106040/0000950123-11-076255.txt
1060426,"AOXING PHARMACEUTICAL COMPANY, INC.",10-K,2011-09-28,edgar/data/1060426/0001096906-11-002277.txt
1060910,GENERAL METALS CORP,10-K,2011-08-15,edgar/data/1060910/0001437749-11-006007.txt
1060910,GENERAL METALS CORP,NT 10-K,2011-08-01,edgar/data/1060910/0001437749-11-005238.txt
1061688,Genmed Holding Corp,10-K/A,2011-08-01,edgar/data/1061688/0001178924-11-000069.txt
1063665,CORGENIX MEDICAL CORP/CO,10-K,2011-09-23,edgar/data/1063665/0001047469-11-008188.txt
